Policy_ID,Policy_Start_Date,Incident_Date,Customer_Age,Gender,Education,State,Driver_Experience,Previous_Claims,Traffic_Violations,At_Fault,Vehicle_Make,Vehicle_Type,Vehicle_Age,Vehicle_Value,Policy_Type,Annual_Premium,Deductible,Incident_Type,Injury_Severity,Num_Vehicles_Involved,Police_Report_Filed,Witnesses,Claim_Amount,Claim_Status,Processing_Days,Settlement_Amount,Fraud_Flag
POL00001,2021-01-31,2021-05-26,33,Male,Bachelor,Delhi,15,1,0,Yes,BMW,Sedan,13,1444705,Third-Party,800.0,2500,Collision,None,1,No,0,1115126.95,Pending,50,0.0,1
POL00002,2021-12-30,2022-03-13,71,Female,High School,Telangana,50,2,1,No,Toyota,Sedan,8,2075202,Standard,1141.09,5000,Theft,Minor,4,Yes,0,1416230.49,Pending,50,0.0,0
POL00003,2020-05-10,2020-10-23,55,Male,Master,Maharashtra,37,0,0,No,Kia,Sedan,12,2278264,Basic,800.0,1000,Collision,Severe,1,No,3,412284.15,Pending,16,0.0,0
POL00004,2021-07-18,2022-10-11,52,Male,Bachelor,West Bengal,34,1,0,Yes,BMW,Convertible,17,572859,Basic,800.0,2500,Collision,Fatal,2,Yes,3,375911.3,Approved,30,279319.74,0
POL00005,2021-02-04,2021-05-18,51,Non-Binary,High School,Gujarat,33,1,0,No,BMW,Hatchback,5,1215508,Comprehensive,1329.22,1000,Collision,Moderate,2,Yes,4,432556.62,Approved,58,418719.84,0
POL00006,2020-12-31,2021-03-06,45,Female,Bachelor,Tamil Nadu,27,0,0,No,BMW,SUV,2,631930,Basic,1151.15,10000,Collision,None,3,No,1,438075.0,Rejected,92,0.0,0
POL00007,2022-09-21,2023-01-29,19,Male,Bachelor,Maharashtra,1,2,0,Yes,Honda,SUV,9,2323488,Comprehensive,942.94,10000,Fire,Minor,1,No,4,126517.17,Approved,31,120148.38,0
POL00008,2020-11-10,2021-05-14,47,Male,Master,Telangana,29,0,0,Yes,BMW,Convertible,9,2222690,Basic,800.0,1000,Fire,None,1,Yes,2,1150747.06,Approved,15,724814.33,0
POL00009,2022-06-27,2023-09-25,30,Female,High School,Telangana,12,1,0,No,Honda,Hatchback,9,2795108,Third-Party,834.63,2500,Collision,Minor,4,No,1,1289710.19,Pending,24,0.0,0
POL00010,2018-05-02,2019-02-10,58,Female,Master,Gujarat,40,0,0,Yes,Tata,Sedan,8,499771,Basic,1161.87,10000,Collision,Minor,2,Yes,4,352436.55,Rejected,81,0.0,1
POL00011,2019-04-12,2019-10-29,33,Female,Bachelor,Telangana,15,2,0,No,Mahindra,SUV,11,2473298,Comprehensive,1572.0,0,Collision,None,1,Yes,4,1272396.66,Approved,10,851534.55,0
POL00012,2021-05-23,2022-10-03,22,Female,Master,Punjab,4,1,0,Yes,Volkswagen,Truck,7,1610375,Comprehensive,950.79,1000,Theft,Minor,2,Yes,3,1529856.25,Rejected,102,0.0,0
POL00013,2018-11-27,2019-07-30,72,Female,High School,Telangana,50,1,1,Yes,Honda,SUV,8,1942734,Comprehensive,1585.63,1000,Theft,Severe,1,No,4,965895.07,Rejected,65,0.0,0
POL00014,2022-01-22,2022-08-09,45,Male,Bachelor,UP,27,0,2,Yes,Honda,SUV,16,903418,Standard,974.48,0,Flood,None,4,Yes,3,400599.29,Pending,59,0.0,0
POL00015,2018-03-29,2019-01-04,70,Male,Bachelor,West Bengal,50,1,0,No,Honda,Convertible,7,2540240,Third-Party,1088.33,5000,Flood,Minor,3,No,0,2107496.0,Approved,48,1804527.23,1
POL00016,2021-10-28,2022-11-21,56,Male,Bachelor,Maharashtra,38,1,1,No,Toyota,Van,17,2857037,Standard,834.12,5000,Collision,Minor,1,No,1,2306259.54,Rejected,43,0.0,1
POL00017,2021-01-28,2022-01-14,62,Female,Master,Tamil Nadu,44,1,1,No,Maruti,Van,19,1674611,Standard,800.0,10000,Collision,None,2,Yes,3,371830.45,Pending,51,0.0,0
POL00018,2020-05-21,2020-08-13,37,Female,Bachelor,Punjab,19,0,1,No,Maruti,Sedan,16,2101589,Comprehensive,1251.87,1000,Flood,Minor,4,No,5,1492410.61,Rejected,119,0.0,1
POL00019,2022-08-15,2023-12-13,41,Male,Master,Punjab,23,1,0,No,Toyota,Sedan,5,2256702,Comprehensive,1037.37,0,Natural Disaster,None,2,Yes,5,1557399.46,Pending,94,0.0,0
POL00020,2018-05-11,2019-08-15,44,Male,High School,Tamil Nadu,26,0,1,No,Toyota,SUV,9,2463357,Standard,1419.23,2500,Collision,Minor,1,No,5,2027633.77,Rejected,38,0.0,1
POL00021,2022-08-13,2022-12-11,47,Male,Master,Telangana,29,1,1,Yes,Maruti,Coupe,0,1620710,Comprehensive,1153.97,5000,Collision,Moderate,3,Yes,5,735874.41,Approved,57,615080.65,0
POL00022,2021-08-25,2022-06-28,62,Male,High School,Delhi,44,0,1,No,Maruti,Truck,0,2122083,Standard,1603.45,2500,Natural Disaster,None,4,Yes,4,997646.61,Approved,54,726659.8,0
POL00023,2020-02-09,2020-06-18,44,Male,Master,Punjab,26,2,1,No,BMW,Coupe,8,2844491,Basic,800.0,10000,Collision,Moderate,3,Yes,5,1919507.37,Rejected,77,0.0,0
POL00024,2018-12-10,2019-06-12,43,Male,PhD,Punjab,25,1,0,No,Ford,Van,19,1700100,Standard,800.0,10000,Collision,Moderate,3,Yes,3,1439084.86,Rejected,33,0.0,0
POL00025,2022-02-24,2023-04-06,24,Male,Bachelor,Maharashtra,6,0,0,No,Kia,Truck,2,2881358,Third-Party,1142.33,1000,Theft,Fatal,2,No,0,2114355.13,Rejected,116,0.0,1
POL00026,2021-12-08,2022-12-21,59,Male,Bachelor,Gujarat,41,1,1,Yes,Maruti,Sedan,5,2089586,Comprehensive,1155.5,0,Natural Disaster,Minor,2,No,2,1252257.59,Approved,48,1204719.49,0
POL00027,2020-03-16,2021-07-09,64,Female,Bachelor,UP,46,1,0,Yes,Toyota,SUV,6,889405,Basic,1243.91,0,Collision,Minor,4,No,2,519959.99,Approved,30,403801.63,0
POL00028,2019-01-21,2020-02-18,70,Male,High School,Tamil Nadu,50,0,0,No,Ford,SUV,8,2799998,Basic,980.14,2500,Fire,Minor,3,Yes,0,2053298.47,Approved,11,1421759.93,1
POL00029,2021-04-30,2021-10-17,55,Female,Bachelor,Telangana,37,0,0,No,Toyota,SUV,4,2869875,Standard,1104.38,10000,Collision,Minor,1,No,4,1632686.97,Approved,31,1195015.68,0
POL00030,2020-08-13,2021-03-03,22,Female,Bachelor,Rajasthan,4,0,0,No,Ford,Sedan,15,2319803,Comprehensive,1158.69,2500,Collision,Fatal,1,Yes,1,1064908.52,Rejected,97,0.0,0
POL00031,2018-10-04,2018-11-12,40,Female,Master,Rajasthan,22,0,0,Yes,Honda,Truck,1,2409984,Basic,1082.96,5000,Collision,Moderate,1,No,1,722654.1,Pending,110,0.0,0
POL00032,2021-03-30,2021-12-12,45,Female,Master,Delhi,27,0,1,No,Hyundai,Sedan,2,191376,Standard,1008.84,2500,Natural Disaster,None,1,No,3,158490.42,Rejected,100,0.0,1
POL00033,2019-04-05,2020-01-24,51,Male,Master,Punjab,33,0,0,No,Ford,Hatchback,2,1635726,Standard,993.47,0,Fire,None,2,No,2,528494.13,Approved,50,517540.84,0
POL00034,2021-08-30,2022-12-10,70,Male,Bachelor,Punjab,50,0,0,No,Mahindra,Truck,19,2092050,Comprehensive,1269.39,5000,Flood,Moderate,3,Yes,0,526329.6,Approved,17,339392.68,0
POL00035,2018-01-22,2018-10-26,32,Female,Master,Gujarat,14,0,0,Yes,Tata,Sedan,9,420938,Basic,800.0,2500,Collision,None,3,No,4,281415.07,Under Review,63,0.0,0
POL00036,2018-09-10,2019-06-13,49,Female,Bachelor,Punjab,31,1,0,No,Mahindra,Sedan,2,343413,Standard,1346.08,0,Hit & Run,Minor,4,No,0,152924.34,Pending,84,0.0,1
POL00037,2020-01-18,2020-07-20,43,Female,Bachelor,Rajasthan,25,0,0,No,Honda,SUV,14,671852,Comprehensive,1497.51,5000,Natural Disaster,None,1,Yes,2,131601.53,Approved,24,91821.79,0
